date,region_id,type_id,average,lowest,highest,volume,order_count
2020-03-30,10000043,33816,66380909.09,48380000,68190000,11,11
2020-03-30,10000043,33818,253533333.33,251950000,256700000,3,3
2020-03-30,10000043,33820,978640000,765600000,1120000000,5,5
2020-03-30,10000043,33822,200000,200000,200000,5,2
2020-03-30,10000043,33824,653089.47,267600,934000,19,12
2020-03-30,10000043,33826,41485000,41480000,41490000,2,2
2020-03-30,10000043,33828,5221200,3686000,7524000,5,3
2020-03-30,10000043,33830,5810666.67,4250500,8931000,3,3
2020-03-30,10000043,33842,176700000,176700000,176700000,2,2
2020-03-30,10000043,33844,142969444.44,116350000,146000000,36,23
2020-03-30,10000043,33852,40880000,40880000,40880000,1,1
2020-03-30,10000043,33856,5000000,5000000,5000000,5,5
2020-03-30,10000043,33890,920000,920000,920000,165,37
2020-03-30,10000043,33892,3128000,3128000,3128000,119,43
2020-03-30,10000043,33894,3322096.77,3320000,3323000,31,15
